"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated","mentions","rating"
"neo","NEO","NEO","12","117.457","0.00789707","372655000.0","7634705000.0","65000000.0","100000000.0",,"-2.14","16.94","31.01","1515503048",58,172447124
"gamecredits","GameCredits","GAME","91","6.60173","0.00044386","28553700.0","424856658.0","64355352.0","64355352.0",,"6.86","32.3","43.26","1515503044",10,87557764
"deepbrain-chain","DeepBrain Chain","DBC","78","0.546913","0.00003677","50226500.0","492221700.0","900000000.0","10000000000.0","10000000000.0","-0.4","46.59","293.61","1515503058",7,72402685
"icon","ICON","ICX","15","11.7146","0.00078761","257570000.0","4434503316.0","378545005.0","400230000.0",,"-0.48","14.54","81.58","1515503055",12,36551363
"monacoin","MonaCoin","MONA","73","9.80147","0.00065899","21245700.0","554733552.0","56596975.0","56596975.0",,"-1.38","22.63","-6.89","1515503042",5,24795208
"ethereum","Ethereum","ETH","2","1217.16","0.081834","7656780000.0","117905933560","96869708.0","96869708.0",,"-1.17","7.36","37.59","1515503050",14,16232721
"gas","Gas","GAS","75","58.0404","0.00390225","25960800.0","530348903.0","9137582.0","13802656.0","100000000.0","-1.21","15.54","65.7","1515503051",3,10103812
"binance-coin","Binance Coin","BNB","30","18.3206","0.00123175","288052000.0","1813995888.0","99014000.0","199013968.0",,"-1.37","4.29","113.05","1515503052",2,1396759
"raiblocks","RaiBlocks","XRB","19","26.7607","0.00179922","39522600.0","3565817493.0","133248289.0","133248289.0","133248290.0","-2.16","-0.74","-16.48","1515503049",5,-2284722
"bitcoin","Bitcoin","BTC","1","14893.7","1.0","18038600000.0","250090721014","16791712.0","16791712.0","21000000.0","-0.61","-3.24","7.21","1515503061",7,-4031057
"dogecoin","Dogecoin","DOGE","31","0.0149273","0.00000100","192635000.0","1682166928.0","112690635817","112690635817",,"0.01","-6.1","60.7","1515503041",5,-7169116
"chainlink","ChainLink","LINK","89","1.22459","0.00008233","17113300.0","428606500.0","350000000.0","1000000000.0",,"-2.47","-0.16","78.28","1515503053",29,-14663866
"stellar","Stellar","XLM","8","0.623778","0.00004194","229799000.0","11153223923.0","17880117483.0","103590302054",,"-1.47","-2.85","13.82","1515503043",25,-16332009
"tron","TRON","TRX","10","0.1426","0.00000959","1232970000.0","9375692247.0","65748192475.0","100000000000",,"-2.33","-10.23","114.6","1515503054",8,-21558073
"dentacoin","Dentacoin","DCN","33","0.00484139","0.00000033","18184800.0","1574372657.0","325190215376","1841395638392","8000000000000","-2.05","-14.81","838.84","1515503053",17,-66934841
"iota","IOTA","MIOTA","9","3.6817","0.00024753","286683000.0","10233396643.0","2779530283.0","2779530283.0","2779530283.0","-0.75","-6.04","-10.48","1515503050",66,-87219162
"ripple","Ripple","XRP","3","2.27065","0.00015266","3682410000.0","87963039247.0","38739144847.0","99993093880.0","100000000000","-3.13","-9.81","-4.39","1515503041",71,-174330232


"ark","Ark","ARK","48","9.36413","0.00062726","38889000.0","917509481.0","97981284.0","129231284.0",,"0.14","19.43","15.59","1515503351",70,307833117
"funfair","FunFair","FUN","54","0.185519","0.00001243","135360000.0","788432304.0","4249873622.0","10999873621.0",,"-0.23","20.75","106.81","1515503352",56,260543076
